Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT3G25740	-0.295812139583568	2.16312792568649	-1.42525190264709	0.168983802728866	0.306687779726603	-5.2168575470696
AT1G78955	0.372289119257243	1.45446262596058	1.42515116442608	0.169012564730439	0.306696954582132	-5.03731288874038
AT5G20140	-0.741804087087093	2.70907228312931	-1.42513228169147	0.169017956422231	0.306696954582132	-5.27209432044475
AT1G09812	0.301243947229641	0.990039841635178	1.42499509501925	0.169057132251464	0.306741637791432	-4.96016756254451
AT1G53050	0.121643355488369	5.71321845137021	1.42476933602828	0.169121617228342	0.306832230929808	-5.80013188201859
AT5G40500	-0.801670674797344	0.39875837485136	-1.42468910144168	0.169144539913788	0.306834225066605	-4.77233646626571
AT4G29670	-0.357883918672933	3.74248855268704	-1.42465760845709	0.169153538011312	0.306834225066605	-5.48307189284299
AT1G72840	0.22626781543386	4.42586691731273	1.42461265216904	0.169166383478372	0.306834225066605	-5.61129501908014
AT5G52440	-0.58994207918586	4.28884551476718	-1.42439872065318	0.169227521401691	0.306918708693766	-5.57631355433659
AT2G20680	0.25646181605697	3.92593213669399	1.42381815169435	0.169393527614216	0.307193355308645	-5.56466340901749
AT5G15050	0.184279028780258	4.01767567988112	1.42357452121712	0.16946322964994	0.307256893176515	-5.55212273668709
AT2G31890	-0.423224316654173	3.36795451103375	-1.42354341055517	0.169472131990291	0.307256893176515	-5.41764671762655
AT4G01890	0.714783252313318	1.12535589440551	1.42354285443726	0.169472291127293	0.307256893176515	-4.90679146649182
AT4G24900	0.248009825440052	3.13842192869362	1.42339949950954	0.169513317147695	0.307304843951961	-5.38541132964708
AT3G55450	0.192157795605798	5.1422895074394	1.42275035410143	0.169699192858259	0.307604056531184	-5.73283421647379
AT3G46920	-0.143419508392327	4.47036783853621	-1.42272117749297	0.169707551112793	0.307604056531184	-5.64174512065389
AT4G24760	0.159086478632395	5.08575565382883	1.42264570635827	0.16972917294725	0.307616796984613	-5.72490656085006
AT3G07690	-0.182453726109538	5.07236639384358	-1.42241239249559	0.169796029394615	0.307711511316927	-5.73488730458853
AT5G55000	-0.156401345556957	4.47567283114477	-1.4222490164288	0.169842857673876	0.307756774421438	-5.651825433747
AT3G01580	0.375027756502781	0.920611051005796	1.42222338740943	0.169850204630883	0.307756774421438	-4.96108399223545
AT3G09735	0.11663472284115	5.63445149024725	1.42185482680839	0.169955886545919	0.307921795306229	-5.79031666865588
AT5G57010	0.454263077923784	1.84073645997168	1.42174248937869	0.169988108958708	0.307931252558011	-5.18603226939971
AT4G16480	0.284350684653865	3.6255264556986	1.42173477494014	0.169990321917342	0.307931252558011	-5.47876581124227
AT4G19890	0.283178125151508	2.45845353334777	1.42164256406037	0.17001677526264	0.307952708587082	-5.27145023356751
AT5G60040	0.226841080544718	4.25647633016268	1.42139268491834	0.170088476937623	0.308056112539315	-5.63106479759559
AT2G42490	-0.26134907679357	8.31345810345944	-1.42128984468147	0.170117993538608	0.308083101700502	-5.83695404201114
AT1G22520	0.184321520182433	4.7610218213609	1.4210849241643	0.170176820909522	0.308163163368502	-5.69551525870291
AT1G48600	0.200841013479815	8.95626555645006	1.42093989549744	0.170218464771315	0.30821209735263	-5.82753597800996
AT5G17580	0.315934676241636	1.70617845484132	1.42073316472744	0.170277840087195	0.308267018676769	-5.11572304511872
AT3G48340	-0.405691031173736	7.31181573659042	-1.42073245518951	0.170278043902861	0.308267018676769	-5.8417568677284
AT1G27330	0.161154127285545	6.2079960456945	1.42065230961776	0.170301067082322	0.308282223623473	-5.82910784502129
AT3G62740	0.526126167705738	5.28403910246316	1.42057431509198	0.170323474741391	0.308296311827969	-5.77324702209695
AT3G25540	0.141206937563123	5.60472623233302	1.42041480280114	0.170369309663819	0.308352798807701	-5.79262056643758
AT2G13610	-1.33629046632065	0.695125696599609	-1.41987240866403	0.170525237671547	0.308608517352009	-4.77843894894739
AT2G25110	0.183515064018609	6.38075187474742	1.41967915904974	0.170580820988339	0.308682608501518	-5.835745680026
AT2G18840	0.156938820377999	4.66305193036985	1.41903269267816	0.170766866437291	0.308992750600694	-5.66571567380371
AT2G26030	-0.219145678264212	3.56594812947214	-1.41885966183962	0.170816690356622	0.309056375651668	-5.46255615013786
AT4G20740	0.249012627118219	2.91732130972526	1.41864413566221	0.170878767078945	0.309100794681287	-5.32982637109137
AT4G29010	-0.143223428257015	7.09942538578711	-1.4185974324659	0.170892221113467	0.309100794681287	-5.84498622691248
AT2G42330	-0.216065672876513	4.78867267225611	-1.41859032425923	0.170894268886492	0.309100794681287	-5.6898253407455
AT4G13190	-0.858135130242824	-0.855943075239774	-1.4185588891639	0.170903325125944	0.309100794681287	-4.61516218043271
AT5G12260	0.116330430208036	4.65699153511852	1.41851990388297	0.170914557059064	0.309100794681287	-5.67155397066211
AT2G44300	-0.37874523722732	4.74944339522026	-1.4184306185377	0.17094028302994	0.309120800057573	-5.74226641761121
AT3G10490	-0.139225106571762	5.38294466060707	-1.41829039598097	0.170980691928624	0.309143683550792	-5.77277788738168
AT1G10630	0.165862288430991	6.76820925630598	1.41828492789054	0.170982267861417	0.309143683550792	-5.8438548452033
AT1G54410	0.228157061460537	9.26778374801826	1.41815074147035	0.171020944762246	0.309187093961247	-5.82762141597753
AT4G10390	-0.304809232292146	3.40560762084031	-1.41803686435355	0.171053773376706	0.309219924773257	-5.45557545837152
AT1G47580	-0.600007528286236	2.28377140787872	-1.41790505951064	0.171091776539627	0.309250166742504	-5.17764562285055
AT4G34150	-0.765974480416082	5.67685551807986	-1.41787708525448	0.171099843202933	0.309250166742504	-5.76450315064737
AT5G36870	-0.665912955025477	2.39778571973747	-1.41771475307207	0.171146659385391	0.309308263018178	-5.17731064983121
AT1G20230	0.367904689362191	1.35268150571714	1.41765956800779	0.171162576960558	0.309310511987018	-5.06733848656537
AT3G51530	0.267554858602224	3.14565137104595	1.41739122224598	0.171239995551857	0.309423890470868	-5.40330275246923
AT1G09415	-0.335545765477756	2.53441258200406	-1.4170772875717	0.171330602408843	0.309561078150203	-5.29795574916162
AT3G54000	0.198347091841722	3.72161659224628	1.41699472767811	0.171354436988569	0.309577608134988	-5.5219022037349
AT5G50460	0.198029680681027	6.48934998821033	1.41670702580083	0.171437515736214	0.309693704193342	-5.84332446046302
AT1G74300	0.230514375688141	2.63481881995004	1.41667044951107	0.17144808007288	0.309693704193342	-5.29519859179322
AT1G04790	0.120110394292392	4.84735184264849	1.41653602738866	0.17148690973425	0.309737302476052	-5.70666181390475
AT2G26410	-0.953876003508304	3.49979162606916	-1.41643166288738	0.171517061715356	0.309765221124033	-5.38971928317058
AT1G03030	-0.134235565340712	4.26699180581295	-1.41605397492432	0.171626215271563	0.309935802100964	-5.6200171825652
AT1G07897	0.423459813516425	0.898693113307479	1.41567043099332	0.171737118342997	0.310109512992152	-4.97373893201242
AT4G24040	0.486707411015837	1.33784937836353	1.41549996699137	0.17178642708462	0.310171981408461	-4.99630835789976
